学校名,都道府県,担当者,区分
姶良市立加治木中学校,鹿児島,児浦,既存
姶良市立帖佐中学校,鹿児島,児浦,既存
鹿児島市教育委員会,鹿児島,児浦,既存
鹿児島市立喜入中学校,鹿児島,児浦,既存
鹿児島市立吉野東中学校,鹿児島,児浦,既存
鹿児島市立皇徳寺中学校,鹿児島,児浦,既存
鹿児島市立星峯中学校,鹿児島,児浦,既存
鹿児島市立清水中学校,鹿児島,児浦,既存
鹿児島市立西紫原中学校,鹿児島,児浦,既存
鹿児島市立長田中学校,鹿児島,児浦,既存
川島学園れいめい中学校,鹿児島,児浦,既存
日置市立伊集院北中学校,鹿児島,児浦,既存
CLARK SMART千葉,千葉,野崎,既存
CLARK SMART東京,東京,SD,既存
アレセイア湘南高等学校,神奈川,井上,既存
イオンリテール株式会社南関東カンパニー,神奈川,井上,既存
いちご株式会社,神奈川,井上,既存
オイスカ浜松国際高等学校,静岡,井上,既存
かえつ有明高等学校,東京,関,既存
かえつ有明中学校,東京,井上,既存
クラークNEXT高等学校 秋葉原キャンパス,東京,吉岡,既存
クラーク記念国際高等学校 横浜キャンパス,神奈川,吉岡,既存
クラーク記念国際高等学校 横浜青葉キャンパス,神奈川,三田,既存
クラーク記念国際高等学校 厚木キャンパス,神奈川,香取,既存
クラーク記念国際高等学校 静岡キャンパス,静岡,田中,既存
クラーク記念国際高等学校 千葉キャンパス,千葉,野崎,既存
クラーク記念国際高等学校 東京キャンパス,東京,田中,既存
クラーク記念国際高等学校 柏キャンパス,千葉,深町,既存
クラーク記念国際高等学校 立川キャンパス,東京,香取,既存
クラーク記念国際高等学校浜松キャンパス,静岡,井上,既存
クラーク記念国際中等部 東京キャンパス,東京,田中,既存
サレジアン国際学園世田谷高等学校,東京,早﨑,既存
サレジアン国際学園世田谷中学校,東京,早﨑,既存
トキワ松学園高等学校,東京,丸谷,既存
ドルトン東京学園高等部,東京,井上,既存
ドルトン東京学園中等部,東京,井上,既存
ビヨンドトゥモロー,,井上,既存
フェリス女学院高等学校,神奈川,香取,既存
フェリス女学院中学校,神奈川,香取,既存
ユニコーンプロジェクト（港区・大田区）,東京,香取,既存
わせがく高等学校 稲毛海岸キャンパス,千葉,川合,既存
愛知県立豊田高等学校,愛知,井上,既存
愛知県立豊田東高等学校,愛知,井上,既存
安田学園高等学校,東京,早﨑,既存
伊勢原市立伊勢原中学校,神奈川,SD,既存
伊勢原市立成瀬小学校,神奈川,香取,既存
羽田国際高等学校,東京,関,既存
英明フロンティア高等学校,東京,早﨑,既存
横須賀学院高等学校,神奈川,SD,既存
横浜市立横浜吉田中学校,神奈川,香取,既存
横浜市立鴨志田第一小学校,神奈川,早﨑,既存
